id,studentno,subject,ca1,ca2,ca3,exam,termsummary,lasttermcum,cumavg,classavg,position,remark,sign,term,session,created,updated
,FUTASEC00501,AGR,8,19,19,44,90,85,87.5,70.75,1,,,2,3,,
,FUTASEC00502,AGR,8,17,19,44,88,83,85.5,70.75,2,,,2,3,,
,FUTASEC00503,AGR,9,20,17,42,88,83,85.5,70.75,3,,,2,3,,
,FUTASEC00504,AGR,8,20,17,42,87,82,84.5,70.75,4,,,2,3,,
,FUTASEC00505,AGR,6,17,19,44,86,81,83.5,70.75,5,,,2,3,,
,FUTASEC00506,AGR,9,19,16,41,85,80,82.5,70.75,6,,,2,3,,
,FUTASEC00507,AGR,7,16,18,43,84,79,81.5,70.75,7,,,2,3,,
,FUTASEC00508,AGR,6,16,18,43,83,78,80.5,70.75,8,,,2,3,,
,FUTASEC00509,AGR,8,15,17,42,82,77,79.5,70.75,9,,,2,3,,
,FUTASEC00510,AGR,5,16,18,43,82,77,79.5,70.75,10,,,2,3,,
,FUTASEC00511,AGR,4,16,18,43,81,76,78.5,70.75,11,,,2,3,,
,FUTASEC00512,AGR,6,15,17,42,80,75,77.5,70.75,12,,,2,3,,
,FUTASEC00513,AGR,7,14,16,41,78,73,75.5,70.75,13,,,2,3,,
,FUTASEC00514,AGR,4,15,17,42,78,73,75.5,70.75,14,,,2,3,,
,FUTASEC00515,AGR,9,13,15,40,77,72,74.5,70.75,15,,,2,3,,
,FUTASEC00516,AGR,3,15,17,42,77,72,74.5,70.75,16,,,2,3,,
,FUTASEC00517,AGR,5,14,16,41,76,71,73.5,70.75,17,,,2,3,,
,FUTASEC00518,AGR,4,14,16,41,75,70,72.5,70.75,18,,,2,3,,
,FUTASEC00519,AGR,9,12,14,39,74,69,71.5,70.75,19,,,2,3,,
,FUTASEC00520,AGR,9,12,14,39,74,69,71.5,70.75,20,,,2,3,,
,FUTASEC00521,AGR,3,14,16,41,74,69,71.5,70.75,21,,,2,3,,
,FUTASEC00522,AGR,8,12,14,39,73,68,70.5,70.75,22,,,2,3,,
,FUTASEC00523,AGR,5,13,15,40,73,68,70.5,70.75,23,,,2,3,,
,FUTASEC00524,AGR,4,13,15,40,72,67,69.5,70.75,24,,,2,3,,
,FUTASEC00525,AGR,7,12,14,39,72,67,69.5,70.75,25,,,2,3,,
,FUTASEC00526,AGR,6,12,14,39,71,66,68.5,70.75,26,,,2,3,,
,FUTASEC00527,AGR,2,13,15,40,70,65,67.5,70.75,27,,,2,3,,
,FUTASEC00528,AGR,7,11,13,38,69,64,66.5,70.75,28,,,2,3,,
,FUTASEC00529,AGR,7,11,13,38,69,64,66.5,70.75,29,,,2,3,,
,FUTASEC00530,AGR,6,11,13,38,68,63,65.5,70.75,30,,,2,3,,
,FUTASEC00531,AGR,3,12,14,39,68,63,65.5,70.75,31,,,2,3,,
,FUTASEC00532,AGR,3,12,14,39,68,63,65.5,70.75,32,,,2,3,,
,FUTASEC00533,AGR,8,10,12,37,67,62,64.5,70.75,33,,,2,3,,
,FUTASEC00534,AGR,4,11,13,38,66,61,63.5,70.75,34,,,2,3,,
,FUTASEC00535,AGR,9,9,11,36,65,60,62.5,70.75,35,,,2,3,,
,FUTASEC00536,AGR,5,10,12,37,64,59,61.5,70.75,36,,,2,3,,
,FUTASEC00537,AGR,2,11,13,38,64,59,61.5,70.75,37,,,2,3,,
,FUTASEC00538,AGR,5,10,12,37,64,59,61.5,70.75,38,,,2,3,,
,FUTASEC00539,AGR,3,10,12,37,62,57,59.5,70.75,39,,,2,3,,
,FUTASEC00540,AGR,6,9,11,36,62,57,59.5,70.75,40,,,2,3,,
,FUTASEC00541,AGR,4,9,11,36,60,55,57.5,70.75,41,,,2,3,,
,FUTASEC00542,AGR,7,8,10,35,60,55,57.5,70.75,42,,,2,3,,
,FUTASEC00543,AGR,3,9,11,36,59,54,56.5,70.75,43,,,2,3,,
,FUTASEC00544,AGR,5,8,10,35,58,53,55.5,70.75,44,,,2,3,,
